,0
0,9916028.777109245
1,9914148.15523783
2,9914245.93341483
3,9914343.61850683
4,9914441.887433829
5,9914540.75978583
6,9914640.73872283
7,9914741.47947283
8,9914842.89019683
9,9914945.385723831
10,9915048.89662983
11,9915154.57414683
12,9915260.04113183
13,9915366.551094832
14,9915473.853478832
15,9915581.610494832
16,9915690.54478583
17,9915798.679630829
18,9915907.439005828
19,9916016.516219826
20,9916124.931577828
21,9916232.551084828
22,9916339.784965828
23,9916444.574653829
24,9916550.160116829
25,9916657.82351783
26,9916766.21669483
27,9916876.74999483
28,9916986.42373883
29,9917095.62992583
30,9917203.248341829
31,9917310.718107829
32,9917419.209760828
33,9917527.881732829
34,9917636.73986283
35,9917746.878541827
36,9917857.267147828
37,9917967.478709828
38,9918077.504224828
39,9918187.409702828
40,9918296.882623829
41,9918406.56529883
42,9918515.605361829
43,9918624.066665828
44,9918731.74002183
45,9918840.157638831
46,9918948.430247832
47,9919056.710736834
48,9919165.330953833
49,9919274.274302833
50,9919384.106799833
51,9919494.650142832
52,9919605.123509832
53,9919716.348773832
54,9919825.335848833
55,9919933.683630833
56,9920041.791788833
57,9920149.858921833
58,9920256.386830833
59,9920362.661748832
60,9920469.516390834
61,9920576.184187833
62,9920682.724603834
