,0
0,9925146.51854772
1,9924124.41954772
2,9924124.41954772
3,9924124.33705472
4,9924123.315623721
5,9924123.315623721
6,9924123.315623721
7,9924123.315623721
8,9924123.315623721
9,9924123.315623721
10,9924123.315623721
11,9924193.912456546
12,9924199.572067536
13,9924268.017930062
14,9924305.766047345
15,9924381.043448921
16,9923716.475203596
17,9923672.047121596
18,9923627.221453596
19,9923626.251295596
20,9923581.754534595
21,9923535.009128595
22,9923613.071050597
23,9923611.901218597
24,9923611.901218597
25,9923611.901218597
26,9923611.901218597
27,9923611.901218597
28,9923611.901218597
29,9923611.901218597
30,9923561.821342597
31,9923560.845521597
32,9923560.845521597
33,9923586.003898857
34,9923585.628077272
35,9923642.73371968
36,9923641.146128405
37,9923641.146128405
38,9923641.146128405
39,9923641.146128405
40,9923641.146128405
41,9923590.772880405
42,9923538.466339406
43,9923537.481994405
44,9923537.481994405
45,9923486.858005406
46,9923434.449742405
47,9923433.464266405
48,9923433.464266405
49,9923433.464266405
50,9923433.464266405
51,9923467.760977404
52,9923465.575242404
53,9922431.146847405
54,9921403.865592405
55,9921403.865592405
56,9920457.667709406
57,9919426.630071407
58,9918400.772238407
59,9918477.634874681
60,9917445.601213101
61,9917442.18569477
62,9916357.553272504
