,0
0,9980786.3259167
1,9977718.60061944
2,9978115.754682926
3,9977511.702905044
4,9977681.035220753
5,9977825.50930827
6,9977294.527272524
7,9977444.292897195
8,9977770.738548055
9,9977784.795306627
10,9978031.19845337
11,9978186.422584372
12,9978601.735862346
13,9978464.963848976
14,9978667.180681178
15,9979977.956038048
16,9978819.15104005
17,9978973.99518205
18,9978754.89614214
19,9977832.637306139
20,9977987.49197514
21,9978141.056443142
22,9977207.103443142
23,9977366.868184
24,9977517.162652837
25,9977661.130269837
26,9978962.949655887
27,9977324.712969057
28,9977512.160137966
29,9977827.232952349
30,9977334.232481232
31,9977534.823567757
32,9977683.480201963
33,9977826.848432964
34,9977984.397858962
35,9978153.204356963
36,9979499.731197968
37,9978341.773157012
38,9978310.864251174
39,9977390.629016172
40,9978708.719862856
41,9978707.302090082
42,9977850.014528153
43,9977714.60101863
44,9977881.44579802
45,9978050.87922602
46,9978171.171814378
47,9976490.083579179
48,9976657.86138404
49,9976920.88077404
50,9977081.04159904
51,9977243.21352704
52,9977399.52058104
53,9977563.97887004
54,9977630.965474041
55,9977225.613563849
56,9976674.115918936
57,9976753.793193255
58,9976829.711724255
59,9976897.172399255
60,9976926.536753802
61,9976986.7205178
62,9977052.553987801
