,0
0,9833698.170161288
1,9832764.49932829
2,9832635.959434075
3,9832896.08975566
4,9833058.61450929
5,9833238.86121829
6,9833413.700919291
7,9833592.774946291
8,9833776.470748292
9,9833775.350187292
10,9833942.404808294
11,9834096.809404293
12,9834211.42122554
13,9834210.646821607
14,9834389.661162606
15,9834552.875562606
16,9834658.185563767
17,9834818.980648525
18,9834979.971520524
19,9834978.851013524
20,9835144.358936526
21,9835301.140732525
22,9835462.594133526
23,9835633.577393524
24,9835802.059900524
25,9835975.107171524
26,9836125.164540526
27,9836124.082788525
28,9836278.679122526
29,9836483.812937526
30,9836637.685315525
31,9836785.428510526
32,9836948.017867526
33,9837119.981841525
34,9837302.147486525
35,9837479.430120524
36,9837654.301766526
37,9837826.649040526
38,9837825.563158527
39,9838005.332526525
40,9837990.493754527
41,9838427.072753526
42,9838613.327705525
43,9838802.194407525
44,9838801.107339524
45,9838985.904956523
46,9839169.273992524
47,9839359.341751523
48,9839358.240686525
49,9839358.240686525
50,9839359.287329288
51,9839539.621498307
52,9839538.500739308
53,9839494.005125105
54,9839771.59710811
55,9839943.276003513
56,9840112.463506514
57,9840282.469181515
58,9840449.531899516
59,9840625.352094514
60,9840797.834300516
61,9840962.416966517
62,9841330.54885852
