,0
0,10101337.35006424
1,10099851.677834215
2,10100337.10884926
3,10100890.034023765
4,10101476.2605656
5,10102032.09633568
6,10102648.763436126
7,10103273.117217137
8,10103876.246788114
9,10104463.067575974
10,10105073.581001779
11,10105567.514532536
12,10106047.917479359
13,10106544.460342258
14,10107044.04708249
15,10107541.433432823
16,10108049.115751266
17,10108511.402714143
18,10108963.786066046
19,10109427.701710138
20,10109834.307538064
21,10110271.800502235
22,10110737.760856697
23,10111225.31409924
24,10111686.78672435
25,10112116.283158202
26,10112568.42460538
27,10113020.402904276
28,10113469.279661717
29,10113914.426325236
30,10114367.022047369
31,10114836.176526997
32,10115297.007695451
33,10115767.795717891
34,10116232.84359958
35,10116680.584901467
36,10117142.882594466
37,10117604.437802142
38,10118056.419042133
39,10118528.199450003
40,10118985.481661165
41,10119449.6223305
42,10119926.72282492
43,10120396.500387833
44,10120861.706624975
45,10121317.907704834
46,10121783.857368808
47,10122257.516074002
48,10122737.016685698
49,10123213.929906977
50,10123606.812119614
51,10123982.028802602
52,10124367.064964578
53,10124753.432020633
54,10125142.897287743
55,10125532.956466598
56,10125934.076333346
57,10126340.849665808
58,10126744.04183114
59,10127157.69265334
60,10127570.87898895
61,10127982.984863952
62,10128376.118500201
