,0
0,-1152.8957439996302
1,-2.896968999877572
2,-38.51786199957132
3,-68.70672200061381
4,-33.1116519998759
5,-69.04997300170362
6,24.974037999287248
7,-42.85677699930966
8,-25.851541997864842
9,-34.743273999542
10,-44.03608500212431
11,2.5009040012955666
12,31.23325699940324
13,-6.996405001729727
14,-16.145661000162363
15,-12.907027000561357
16,1.1395940016955137
17,-4.821304000914097
18,-34.17742699943483
19,-26.096059000119567
20,-18.44132100045681
21,-27.51253299973905
22,-22.992492001503706
23,3.978719998151064
24,18.931753002107143
25,14.632285000756383
26,-10.702754000201821
27,-26.6952410005033
28,-18.323266001418233
29,-17.323516001924872
30,-9.922495998442173
31,-20.57866500131786
32,-19.40034900046885
33,-19.586396999657154
34,-19.566041998565197
35,-20.681575002148747
36,-9.109678000211716
37,7.140339000150561
38,-9.296961000189185
39,-5.572761001065373
40,5.218316998332739
41,-8.039988998323679
42,-1.5918780006468296
43,-0.486990999430418
44,-6.174621000885963
45,-11.462930001318455
46,-6.636482000350952
47,-13.054144000634551
48,-6.189141998067498
49,-19.87355599924922
50,-22.114150000736117
51,-9.977350000292063
52,-6.538516998291016
53,-18.504166001453996
54,-24.077271999791265
55,-17.390259999781847
56,-13.715421000495553
57,-19.833456000313163
58,-27.53159800171852
59,-18.6490630004555
60,-15.838518001139164
61,-19.08961999975145
