,0
0,10042417.033352831
1,10041320.096142832
2,10041430.014238229
3,10041542.911501113
4,10041655.784930116
5,10041769.426118117
6,10041883.285298117
7,10041997.821019117
8,10042111.789583117
9,10042110.578831116
10,10042225.130113116
11,10042338.992911113
12,10042337.781905115
13,10042454.283467114
14,10042568.431874113
15,10042681.852181112
16,10042795.175977113
17,10042907.780269112
18,10043020.145648113
19,10043018.934545113
20,10043018.934545113
21,10043131.378515113
22,10043242.850794112
23,10043353.699594112
24,10043464.871777112
25,10043576.579397112
26,10043614.656757765
27,10043727.282668572
28,10043839.022422573
29,10043951.352032572
30,10044064.986652572
31,10044178.395211572
32,10044291.707400572
33,10044404.272434572
34,10044516.857965574
35,10044629.235001573
36,10044648.151324568
37,10044761.792329296
38,10044875.545357296
39,10044989.805057298
40,10045104.035793297
41,10045219.330080297
42,10045334.775008297
43,10045451.391490296
44,10045457.294207295
45,10045463.655117298
46,10045470.147516297
47,10045476.650544297
48,10045483.205322295
49,10045482.094742296
50,10045487.157896288
51,10045492.54839012
52,10045497.83617812
53,10045504.39157412
54,10045511.06025612
55,10045517.89525612
56,10045524.39976112
57,10045530.66938812
58,10045536.512766121
59,10045535.40095712
60,10045542.21201112
61,10045547.94308312
62,10044831.637992598
