,0
0,10107585.346747657
1,10106908.094878003
2,10107238.171336949
3,10107583.888827741
4,10107919.157724436
5,10108264.727620207
6,10108617.722047107
7,10109005.210853897
8,10109396.355762396
9,10108734.36440798
10,10108062.849269796
11,10107402.231546888
12,10106785.719745224
13,10106177.105986517
14,10105561.083389401
15,10104911.716402838
16,10104284.154457046
17,10103665.042200547
18,10103023.380486904
19,10102390.947865438
20,10101763.92428264
21,10101129.76905675
22,10100473.485776335
23,10099794.111236082
24,10099133.421215529
25,10098447.36839614
26,10097737.929880697
27,10097054.530359915
28,10096369.96753435
29,10095695.490034468
30,10095001.59038437
31,10094340.375033658
32,10093673.894560821
33,10092991.644358536
34,10092310.111319412
35,10091621.14576208
36,10090939.296813019
37,10090269.739635793
38,10089597.12398699
39,10088983.547561307
40,10088347.917878471
41,10087735.900900872
42,10087109.21723769
43,10086479.545808706
44,10085832.99350988
45,10085171.962025851
46,10084541.69628631
47,10083937.547678215
48,10083323.186428042
49,10082701.642257292
50,10082079.61513674
51,10081463.440699968
52,10080842.032318784
53,10080224.763708267
54,10079604.37537082
55,10078984.811954781
56,10078366.24971608
57,10077743.033322392
58,10077149.806322511
59,10076585.127372779
60,10076026.992795395
61,10075435.869902886
62,10074825.30859365
