,0
0,10023960.720430281
1,10021372.198939914
2,10020950.887600625
3,10020085.973827627
4,10019823.553397689
5,10018965.597084248
6,10018943.493372237
7,10018596.082175577
8,10017734.778706577
9,10017099.047845075
10,10016694.933425652
11,10016801.05391165
12,10015943.120618653
13,10015613.439807469
14,10015024.991989397
15,10014214.677105919
16,10014420.47530636
17,10013556.33596736
18,10012808.414885374
19,10012974.00642489
20,10013562.22096423
21,10013221.171373231
22,10012348.044745218
23,10011479.784860216
24,10010608.606138214
25,10010783.459124878
26,10011755.716792846
27,10011161.879349455
28,10010627.307143858
29,10009757.300515857
30,10009424.63884831
31,10009496.694164306
32,10009687.625699306
33,10009877.471006306
34,10009550.942723034
35,10008674.460194033
36,10007840.940111645
37,10008134.182798883
38,10008323.17097887
39,10008516.24080787
40,10008699.70887187
41,10008885.20784387
42,10009081.35025187
43,10009270.523816869
44,10009473.37150087
45,10009614.96691881
46,10009777.028258273
47,10009887.1379253
48,10010006.560908299
49,10010112.356403302
50,10008231.484826302
51,10008335.500678303
52,10008478.999301407
53,10008627.413859101
54,10008737.369352857
55,10008853.460350858
56,10009017.357117305
57,10009133.511744749
58,10009250.432495747
59,10009384.867321055
60,10009284.910289936
61,10009422.847136935
62,10009430.655223932
