,0
0,9916357.553272504
1,9914330.792087505
2,9913301.220544504
3,9912271.989341505
4,9910980.513541853
5,9910190.689892419
6,9909152.823777748
7,9908117.099087749
8,9907024.92915475
9,9905981.91532875
10,9904886.28126575
11,9903843.873375751
12,9902747.816835752
13,9901706.255736751
14,9900671.291806752
15,9899588.431411752
16,9898570.774154752
17,9897554.558954753
18,9896540.046455752
19,9895698.813716387
20,9894673.290318387
21,9893649.000051387
22,9892621.591669386
23,9891601.911007386
24,9890533.505715387
25,9889458.742780715
26,9887949.386475882
27,9887442.507029202
28,9886429.727506077
29,9885428.610587223
30,9884370.398079222
31,9883355.505848223
32,9883341.191132411
33,9882298.899828024
34,9882298.503629196
35,9882298.503629196
36,9882243.854784196
37,9881209.585297195
38,9879061.832690196
39,9878108.149874197
40,9879402.544921461
41,9879150.919313578
42,9878103.999879578
43,9878103.999879578
44,9878103.999879578
45,9876997.943189578
46,9875941.823386578
47,9875941.823386578
48,9874824.114244577
49,9873766.066704577
50,9872651.623937577
51,9871536.683302578
52,9871477.416197577
53,9870295.000243248
54,9870522.279034326
55,9869456.861474326
56,9869397.462417325
57,9868328.671977326
58,9867258.519894326
59,9867213.186351426
60,9867153.643888282
61,9866936.638501102
62,9865799.364231102
