,0
0,-1032.4796592015773
1,-1025.9839496910572
2,-1025.118989635259
3,-1025.5734076872468
4,-1029.6639872342348
5,-1032.4326717015356
6,-1031.562194397673
7,-1034.068024404347
8,-1037.8374430406839
9,-1036.409635528922
10,-1037.2202237267047
11,-1036.8820881284773
12,-1036.350497784093
13,-1030.7504821792245
14,-1024.2380631901324
15,-1012.496364980936
16,-1011.7997747287154
17,-1010.1023046821356
18,-1014.2596896123141
19,-1020.0870773121715
20,-1019.8434443436563
21,-1022.947771621868
22,-1015.2372342329472
23,-1010.6087315902114
24,-1005.4241865687072
25,-1007.8326930589974
26,-1009.6041111573577
27,-1003.5849586315453
28,-996.622020771727
29,-1000.9289040770382
30,-1009.4241962023079
31,-1010.3455132935196
32,-1020.3645793423057
33,-1019.0087234992534
34,-1026.7119901366532
35,-1032.503580275923
36,-1030.6992044709623
37,-1033.853355417028
38,-1046.3913898840547
39,-1050.5823023542762
40,-1046.8732732124627
41,-1047.1487683057785
42,-1047.7830087132752
43,-1051.3115134071559
44,-1050.4086336903274
45,-1056.6467900834978
46,-1059.0357870217413
47,-1060.0746842790395
48,-1058.6906923390925
49,-1057.7746880836785
50,-1056.7580576352775
51,-1054.9348503015935
52,-1054.9932496268302
53,-1055.7689043376595
54,-1065.7917730882764
55,-1069.185710504651
56,-1069.5823275838047
57,-1072.0767044462264
58,-1068.292511133477
59,-1070.0904282014817
60,-1075.2524056117982
61,-1079.596312250942
