,0
0,10051114.600748694
1,10048863.085008636
2,10049006.184179636
3,10049152.114394635
4,10049295.524806637
5,10049447.546619637
6,10049595.383873636
7,10050519.427404651
8,10049776.325537823
9,10049916.986967769
10,10050742.725444876
11,10050106.575736469
12,10050244.260783613
13,10050381.950851614
14,10051179.618406294
15,10051642.834212612
16,10050567.08457513
17,10050706.227465129
18,10050843.752860129
19,10050897.690747011
20,10051820.961657362
21,10051072.361275455
22,10051207.974141732
23,10051341.161523731
24,10051474.201448731
25,10051607.24092473
26,10051740.636510732
27,10051872.977052731
28,10052007.40096573
29,10052063.277842773
30,10052200.419205973
31,10053346.801828833
32,10053482.083569834
33,10053622.109604836
34,10053759.025889834
35,10053897.879271837
36,10054031.223143836
37,10054175.854063835
38,10054317.998667836
39,10054455.776523834
40,10054594.136899834
41,10054728.802006835
42,10054866.176611833
43,10055006.599629834
44,10055150.412834834
45,10055294.038795834
46,10055439.301202012
47,10055579.271696823
48,10055724.588197822
49,10055854.791465823
50,10055996.926714823
51,10056126.580194822
52,10056344.879973823
53,10056259.727349821
54,10056450.213232318
55,10056453.36804744
56,10056590.926530542
57,10056735.033837542
58,10056871.21848954
59,10057010.503128542
60,10057180.717182571
61,10057213.494300079
62,10057353.636624418
