,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-981.5175369996578
8,0.0
9,1117.341000000015
10,-1.1173410005867481
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,-735.5879177190363
30,-1054.9629089999944
31,0.0
32,999.35899999924
33,-0.9993589986115694
34,0.0
35,-1852.532697290182
36,0.0
37,931.9619694724679
38,-1.9448108077049255
39,1131.7569999992847
40,-1.1317569985985756
41,-1528.8371771723032
42,0.0
43,-1058.529472000897
44,92.08652600087225
45,-2026.2894400022924
46,89.91736500151455
47,1868.2172448933125
48,-667.0835048928857
49,-2002.8121645972133
50,-1282.2973146717995
51,2143.375168280676
52,1015.8411420006305
53,-929.8033309988678
54,1228.5926729980856
55,1228.069263001904
56,92.25065700151026
57,60.21120199933648
58,-1.197987999767065
59,-966.6909640002996
60,-2076.378348333761
61,91.36153484135866
