,0
0,10062408.010853482
1,10060089.196214482
2,10060195.190416483
3,10060294.018961484
4,10060381.343103483
5,10060472.022251485
6,10060574.911182486
7,10060625.903628258
8,10060712.403677177
9,10060804.706865178
10,10060902.386004178
11,10060999.14152818
12,10061088.806727178
13,10061187.518007178
14,10061286.839513179
15,10061388.188568179
16,10061485.229433177
17,10061586.320755178
18,10061686.017984178
19,10061784.62232318
20,10061890.934228178
21,10062000.27362418
22,10062107.51574618
23,10062205.340177178
24,10062291.365153179
25,10062374.402232178
26,10062467.991239177
27,10062551.452047177
28,10062638.649355177
29,10062714.399926176
30,10062795.907527177
31,10062884.993037177
32,10062965.897055177
33,10063043.747423178
34,10063117.403771177
35,10063191.854250178
36,10063272.575593177
37,10063346.875866177
38,10063426.872379176
39,10063505.690041177
40,10063566.271624176
41,10063641.744638177
42,10063728.038892176
43,10063791.700027175
44,10063864.350581175
45,10063935.700613175
46,10064008.866550175
47,10064070.395539176
48,10064137.061563177
49,10064210.695626177
50,10064274.940456176
51,10064339.954204176
52,10064407.037596177
53,10064481.883577177
54,10064559.594566178
55,10064626.13405118
56,10064691.271612179
57,10064747.805836178
58,10064799.66658618
59,10064898.73071918
60,10064994.98447918
61,10065094.52085218
62,10065162.91784018
