,0
0,9928682.965910595
1,9928857.897077596
2,9929027.225710608
3,9929195.563013999
4,9929359.655550996
5,9929540.88058087
6,9929716.675922003
7,9929896.770171408
8,9930081.437579427
9,9930251.932637015
10,9930418.668755822
11,9930573.77242172
12,9930740.394601678
13,9930905.856138282
14,9931084.691287305
15,9931248.605710698
16,9931416.628676463
17,9931579.136033887
18,9931741.005810153
19,9931905.064991662
20,9932070.362832848
21,9932227.999310002
22,9932390.342300346
23,9932562.296399489
24,9932731.755504107
25,9932905.862982271
26,9933056.72587683
27,9933214.722781874
28,9933369.28626401
29,9933576.006487072
30,9933730.851096299
31,9933879.560814233
32,9934043.230482675
33,9934216.40696863
34,9934399.921609307
35,9934578.424808744
36,9934754.46010813
37,9934927.910275063
38,9935104.139439836
39,9935283.901638163
40,9935465.64975934
41,9935653.635807713
42,9935842.286518952
43,9936032.316220945
44,9936218.473806536
45,9936403.30756939
46,9936587.810676847
47,9936779.1239101
48,9936961.570749408
49,9937153.291291267
50,9937337.559388276
51,9937517.811811106
52,9937677.468383789
53,9937832.046150587
54,9937995.797492089
55,9938169.36397889
56,9938339.776569767
57,9938510.978859346
58,9938678.912319226
59,9938856.323688325
60,9939030.365636956
61,9939196.366991857
62,9939566.11214549
