,0
0,10003309.01862964
1,10000990.20399064
2,10001096.198192641
3,10001195.026737642
4,10001282.350879641
5,10001345.135403788
6,10001447.877811203
7,10001539.6062442
8,10001626.324340202
9,10001718.627528204
10,10001816.306667203
11,10001913.062191205
12,10002002.727390204
13,10002101.438670203
14,10002200.760176204
15,10002302.109231204
16,10002399.150096202
17,10002500.241418203
18,10002599.938647203
19,10002698.542986205
20,10002804.854891203
21,10002914.194287205
22,10003021.436409205
23,10003119.260840204
24,10003205.285816204
25,10003288.322895203
26,10003381.911902202
27,10003465.372710202
28,10003552.570018202
29,10003651.633757118
30,10003683.154824603
31,10003772.653061913
32,10003853.557079913
33,10003931.407447914
34,10004005.063795913
35,10004144.680093912
36,10004082.867436914
37,10004158.410060912
38,10004238.406573912
39,10004317.224235913
40,10004377.805818912
41,10004459.131768245
42,10004532.216424312
43,10004595.993301945
44,10004668.643855944
45,10004739.993887944
46,10004813.159824945
47,10004874.688813945
48,10004941.354837947
49,10005014.988900946
50,10005079.233730946
51,10005144.247478945
52,10005211.330870947
53,10005286.176851947
54,10005363.887840947
55,10005430.42732595
56,10005495.564886948
57,10005552.099110948
58,10005405.69642295
59,10005503.705511952
60,10005599.95927195
61,10005699.495644951
62,10005767.892632952
