,0
0,9831350.959477555
1,9830198.063733555
2,9831315.254733555
3,9831314.137542555
4,9831314.137542555
5,9831314.137542555
6,9831314.137542555
7,9830557.832544588
8,9830302.282576542
9,9831268.965053447
10,9831236.829228707
11,9831266.96141418
12,9831266.931281995
13,9831266.931281995
14,9831266.931281995
15,9831266.931281995
16,9831266.931281995
17,9831266.931281995
18,9831266.931281995
19,9830209.106513996
20,9831234.448513996
21,9831233.423171995
22,9831020.712276805
23,9831230.048147596
24,9831229.838811725
25,9831229.838811725
26,9831229.838811725
27,9831229.838811725
28,9831229.838811725
29,9830119.440522725
30,9831210.662522724
31,9831209.571300725
32,9830090.338185724
33,9830072.037590723
34,9829853.808293315
35,9828952.693233661
36,9830051.513806293
37,9830050.414772293
38,9830050.414772293
39,9829460.699832508
40,9828900.134886604
41,9830058.927200446
42,9830057.767819447
43,9830057.767819447
44,9828894.327541448
45,9830053.987541448
46,9830052.827881448
47,9830052.827881448
48,9830052.827881448
49,9830052.827881448
50,9830052.827881448
51,9830052.827881448
52,9830052.827881448
53,9830052.827881448
54,9830052.827881448
55,9828848.536793448
56,9830029.375793448
57,9830028.194954447
58,9830028.194954447
59,9830028.194954447
60,9830028.194954447
61,9830028.194954447
62,9830028.194954447
