,0
0,9827005.663212746
1,9827005.663212746
2,9827005.663212746
3,9827104.514699746
4,9827103.348268745
5,9827151.569632174
6,9827252.153364003
7,9827352.894114004
8,9827454.304838004
9,9827556.800365005
10,9827660.311271004
11,9827659.138270004
12,9827765.779654004
13,9827764.605330005
14,9827873.083178006
15,9827980.840194006
16,9827979.662906004
17,9828088.976351004
18,9827164.684106952
19,9828204.897168627
20,9828313.451729566
21,9828421.071236566
22,9828419.892765565
23,9828525.860582566
24,9828631.446045566
25,9828739.109446567
26,9828847.502623567
27,9828942.327835282
28,9829052.167834299
29,9829161.3740213
30,9829268.992437297
31,9829267.811450297
32,9829267.811450297
33,9829267.811450297
34,9829377.852412298
35,9829376.669261297
36,9829488.242431298
37,9829487.056955298
38,9829534.853290994
39,9829499.221449792
40,9829498.747646485
41,9829609.615783485
42,9829718.655846484
43,9829827.117150484
44,9829825.932165485
45,9829935.534374485
46,9830043.806983486
47,9830042.621527486
48,9830152.427340485
49,9830151.241272485
50,9830262.260557486
51,9830261.072747486
52,9830261.072747486
53,9830373.486728486
54,9830482.473803487
55,9830590.821585488
56,9830698.929743487
57,9830806.996876488
58,9829859.571885487
59,9829008.302314587
60,9829115.156956589
61,9829113.970362589
62,9829221.697319588
