,0
0,322.65091077424586
1,330.0764589458704
2,345.7174907922745
3,335.26889669522643
4,345.56989577040076
5,352.9944269005209
6,387.4888067897409
7,391.14490849897265
8,-661.9913544151932
9,-671.5151381846517
10,-660.6177229080349
11,-616.5118016637862
12,-608.613758707419
13,-616.0225971154869
14,-649.3669865634292
15,-627.5619457922876
16,-619.1122564990073
17,-641.6617136429995
18,-632.4326214659959
19,-627.0235827974975
20,-634.1552258897573
21,-656.2832804154605
22,-679.374540252611
23,-660.6900205537677
24,-686.0528193879873
25,-709.4385154433548
26,-683.3995207827538
27,-684.562825564295
28,-674.4774998817593
29,-693.899650098756
30,-661.2153507117182
31,-666.4804728366435
32,-682.2502022851259
33,-681.5330391246825
34,-688.9655573312193
35,-681.8489490617067
36,-669.5571772251278
37,-672.6156488042325
38,-613.5764256827533
39,-635.6296828351915
40,-612.0169775988907
41,-626.6836631819606
42,-629.6714289840311
43,-646.5522988270968
44,-661.0314840283245
45,-630.2657395415008
46,-604.1486080940813
47,-614.3612501733005
48,-621.544170750305
49,-622.0271205510944
50,-616.1744367722422
51,-621.408381184563
52,-617.2686105165631
53,-620.3883374482393
54,-619.5634160377085
55,-618.5622387006879
56,-623.2163936886936
57,-593.226999880746
58,-564.6789497323334
59,-558.1345773842186
60,-591.1228925082833
61,-610.5613092370331
