,0
0,9958437.283486947
1,9956347.547116524
2,9956509.85591208
3,9956675.82183541
4,9956837.41130354
5,9957000.629479969
6,9957170.831702637
7,9957339.2509868
8,9957500.406010598
9,9957665.809987757
10,9957831.98988196
11,9957994.24799768
12,9958154.455653142
13,9958308.054591041
14,9958463.42659499
15,9958622.351252794
16,9958780.069894878
17,9958930.74681654
18,9959088.869584525
19,9959241.395305412
20,9959393.589789053
21,9959548.60708544
22,9959706.14824492
23,9959872.740399595
24,9960019.193514878
25,9960162.647143677
26,9960307.053393982
27,9960455.756843228
28,9960598.576871973
29,9960743.773038825
30,9960886.712364817
31,9961020.494516468
32,9961152.653177354
33,9961299.934741959
34,9961453.39910711
35,9961598.681575472
36,9961736.169393644
37,9961878.049925108
38,9962024.821003417
39,9962181.910666425
40,9962335.940652177
41,9962488.169444231
42,9962646.436281793
43,9962805.582693147
44,9962965.20727007
45,9963115.123994593
46,9963261.96212907
47,9963408.23257229
48,9963561.628722893
49,9963708.951174561
50,9963845.632165711
51,9963980.443946952
52,9964122.41215155
53,9964268.015786856
54,9964416.922807725
55,9964556.521973647
56,9964688.376753561
57,9964827.071832323
58,9964964.812769774
59,9965102.584170168
60,9965240.807181105
61,9965381.208436579
62,9965518.589059971
