,0
0,10015484.56758918
1,10014970.466509447
2,10015137.92678723
3,10015361.689797232
4,10015599.780569643
5,10015910.04618886
6,10016058.654435556
7,10016684.344871223
8,10016690.950731201
9,10016922.391552394
10,10017184.157897735
11,10017429.9702292
12,10017662.466366632
13,10017801.273459926
14,10017308.552221349
15,10017554.147923611
16,10017702.658846645
17,10017942.59769494
18,10017672.414404944
19,10017972.551648209
20,10018190.06598192
21,10018468.346725421
22,10018702.053983198
23,10018951.502357198
24,10019194.806045199
25,10019415.941197198
26,10019650.2190082
27,10019885.689954698
28,10019565.164590549
29,10019885.958785046
30,10020115.625939991
31,10020352.382709144
32,10020813.558665143
33,10021048.871647295
34,10021391.895255076
35,10021620.113353321
36,10022082.753043322
37,10022448.004866166
38,10022899.748223482
39,10023332.635334233
40,10023471.3870199
41,10024040.929454729
42,10023424.509126136
43,10023662.23330985
44,10023923.181995053
45,10024151.915573157
46,10024433.81398743
47,10024402.233951384
48,10024867.554290416
49,10025107.27578066
50,10025266.328412915
51,10025518.785373872
52,10025727.337158272
53,10025942.276389677
54,10026332.43684701
55,10026338.390590338
56,10026500.986935314
57,10026860.119887194
58,10027016.68257283
59,10027178.359997049
60,10027340.652543573
61,10027093.177897494
62,10027243.430695452
