,0
0,10019009.315859646
1,10017316.840347355
2,10016323.352624213
3,10015331.420578474
4,10015340.016529983
5,10015174.465212516
6,10014855.332984686
7,10014396.61346026
8,10014070.067156035
9,10014148.495228209
10,10014272.339508278
11,10014394.628536226
12,10014522.17527633
13,10014649.627027111
14,10014778.538309459
15,10014905.443090774
16,10015036.48927225
17,10015168.04484182
18,10015297.489085374
19,10015426.938717308
20,10015558.50071512
21,10015691.756161425
22,10015822.973825723
23,10015948.947691249
24,10016076.572669178
25,10016206.123264918
26,10016342.650267838
27,10016478.690897105
28,10016617.172229597
29,10016761.401913883
30,10016897.879304195
31,10017032.886140032
32,10017163.379897917
33,10017300.57338225
34,10017439.066032667
35,10018599.703527955
36,10019759.285251481
37,10020642.431128824
38,10020494.148544429
39,10021683.357178256
40,10022872.458125586
41,10022871.252136009
42,10022871.251469072
43,10022871.251469072
44,10022871.251469072
45,10022871.251469072
46,10022871.251469072
47,10022871.251469072
48,10022871.251469072
49,10022871.251469072
50,10022871.251469072
51,10022871.251469072
52,10022871.251469072
53,10022871.251469072
54,10022871.251469072
55,10022871.251469072
56,10022871.251469072
57,10022871.251469072
58,10022871.251469072
59,10022871.251469072
60,10022871.251469072
61,10022871.251469072
62,10022871.251469072
