,0
0,9854964.827386262
1,9851933.623352842
2,9852382.383481843
3,9852658.841899844
4,9853067.368571842
5,9853158.709276553
6,9853645.711361948
7,9853680.276526432
8,9854208.03949386
9,9854039.866357045
10,9854324.888083046
11,9854613.899072047
12,9854895.722687047
13,9855167.411186047
14,9855275.165949048
15,9855388.748550046
16,9855473.968131049
17,9855807.584336048
18,9855571.848959047
19,9855938.69054386
20,9855865.734891294
21,9856195.013678754
22,9856474.991519496
23,9856768.328012785
24,9857009.271443786
25,9857469.562731786
26,9857395.637311785
27,9857561.045462083
28,9858024.942544475
29,9857952.849675475
30,9858197.625290476
31,9858159.514306476
32,9858515.588750478
33,9859020.852286752
34,9859261.328885244
35,9859223.72913407
36,9859350.30690345
37,9859397.70164266
38,9859667.724520344
39,9859961.588767346
40,9860253.534150345
41,9860387.551515348
42,9861192.750731349
43,9861232.786038347
44,9861428.179996345
45,9861772.997550346
46,9862114.297759347
47,9862453.061069347
48,9862802.535102157
49,9863133.984770231
50,9863399.237370525
51,9863668.900557278
52,9863660.146682587
53,9864247.435131587
54,9864257.758742586
55,9864304.152173454
56,9864748.237878911
57,9864736.663729196
58,9864838.33706184
59,9865161.284248961
60,9865298.40153196
61,9865627.107799962
62,9865945.679588962
